Zona,Ticker,Name
Europa,IEV US Equity,Europa
Europa,EWG US Equity,Alemania
Europa,EWP US Equity,Espana
Europa,EWQ US Equity,Francia
Europa,EWN US Equity,Holanda
Europa,EWI US Equity,Italia
Europa,EWD US Equity,Suecia
Europa,EWL US Equity,Suiza
Europa,EWU US Equity,UK
Eurozona,EZU US Equity,Eurozona
Eurozona,IEV US Equity,Europa
Eurozona,EWG US Equity,Alemania
Eurozona,EWP US Equity,Espana
Eurozona,EWQ US Equity,Francia
Eurozona,EWN US Equity,Holanda
Eurozona,EWI US Equity,Italia
Eurozona,EWD US Equity,Suecia
Eurozona,EWL US Equity,Suiza
Eurozona,EWU US Equity,UK
ASI,EWH US Equity,Hong Kong
ASI,EWY US Equity,South Korea
ASI,EWT US Equity,Taiwan
ASI,EWA US Equity,Australia
ASI,EWM US Equity,Malaysia
ASI,THD US Equity,Thailand
ASI,EWS US Equity,Singapore
ASI,EIDO US Equity,Indonesia
ASI,EPHE US Equity,Philippines
ASI,MCHI US Equity,China
ASI,INDA US Equity,India
ASI,PAK US Equity,Pakistan
ASI,AAXJ US Equity,Asia
US,XLB US Equity,MATERIALS
US,XLC US Equity,COMM_SERV 
US,XLY US Equity,CONS_DISCR
US,XLP US Equity,CONS_STAPLES
US,XLE US Equity,ENERGY
US,XLF US Equity,FINANCIAL
US,XLI US Equity,INDIUSTRIAL
US,XLK US Equity,TECH
US,XLU US Equity,UTILITIES
US,SPY US Equity,USA